Symptom,Description,English_Symptoms
Vatavikara,Disorders related to the Vata dosha.,"pain,stiffness,cracking,swelling_in_joints,dryness,redness,loss_of_vision,constipation,flatulence,abdominal_pain"
Netraroga,Eye disorders.,"Eye_pain,redness,dryness,itching,twitching"
Malavarodha,Constipation.,"Constipation,flatulence,abdominal_pain,distension"
Sutikadosha,Postpartum disorders.,"fever,bleeding,infection,depression"
Vrana,Wounds or injuries.,"wounds,ulcers,hard,painful,inflamed,infected"
Khalitya,Hair loss.,"Hair_loss,baldness"
Raktasrava,Bleeding disorders.,"Bleeding_from_nose,Bleeding_from_mouth,Bleeding_from_anus,Bleeding_from_genitals"
Svarabheda,Voice disorders.,"Hoarseness_of_voice,Loss_of_voice,irritation_in_throat,infection_of_the_vocal_cords"
Arbuda,Tumors or growths.,"Tumors,circular_growth,fixed,slightly_painful,big,and_slow-growing"
Raktadushti,Blood impurities.,"Pale_complexion,Fatigue_or_weakness,Easy_bruising,Skin_disorders_like_acne,eczema,or_rashes,Irregular_menstrual_cycles"
Shulahara,Pain management.,"Colicky_pain_in_the_abdomen,Distention_or_bloating_of_the_abdomen,Nausea_or_vomiting"
Pittadushti,Pitta dosha imbalance.,"Increased_body_heat_or_feeling_of_warmth,jaundice,,Acid_reflux_or_heartburn,Excessive_thirst"
Vatarakta,Gout.,"severe_joint_pain,Swelling,redness,and_tenderness_in_the_affected_jointsLimited_range_of_motion_in_the_affected_joints"
Shirogatavata,Headache due to Vata imbalance.,"Headaches,especially_migraines,Neck_pain_or_stiffness,Tinnitus_(ringing_in_the_ears),Vertigo_or_dizziness"
Rajodosha,Menstrual disorders.,"Irregular_or_painful_menstruation,Infertility,mood_swings,or_hormonal_imbalance,Asthma,bronchitis,cough,or_difficulty_breathing"
Vishuchika,Dysentery.,"chills,vomiting,diarrhea,and_dehydration."
Kastartava,Painful menstruation.,"infertility,mood_swings,and_hormonal_imbalance."
Garadosha,Leprosy.,"asthma,bronchitis,cough,or_difficulty_breathing."
Urahkshata,Chest injury.,"Chest_pain,cough,or_difficulty_breathing,Hemoptysis_or_blood_vomiting,Fever,thirst,or_loss_of_taste"
Vatavyadhi,Diseases related to Vata dosha.,"arthritis,sciatica,neuralgia,paralysis,or_insomnia."
Dhatukshaya,Tissue depletion.,"weakness,fatigue,weight_loss,or_anemia."
Yonishula,Pelvic pain.,"Pain,burning,or_itching_in_the_vagina,vulva,or_cervix,Abnormal_vaginal_discharge,odor,or_bleeding"
Vidvibandha,Constipation due to neurological causes.,"abdominal_pain,bloating,or_hemorrhoids."
Gudapaka,Anal disorders.,"inflammation,ulceration,or_fistula."
Shirahshula,Headache.,"nausea,vomiting,or_sensitivity_to_light_and_sound."
Mahavataroga,Severe skin diseases.,"Shortness_of_breath,fatigue,or_sweating,Nosebleed,ringing_in_the_ears,or_redness_in_the_face"
Hriddaha,Heartburn.,"indigestion,belching,or_sour_taste_in_the_mouth."
Shvitra,Leucoderma or vitiligo.,white_patches_or_depigmentation
Amavata,Rheumatoid arthritis.,"pain,stiffness,or_swelling_in_the_joints,especially_in_the_hands_and_feet."
Rajodushti,Menstrual disorders.,"Irregular_or_painful_menstruation,Infertility,mood_swings,or_hormonal_imbalance"
Shiroroga,Head disorders.,"epilepsy,stroke,dementia,or_brain_tumor."
Dushtavrana,Infected wounds.,"produce_pus,odor,or_pain."
Chhardi,Vomiting.,"dehydration,electrolyte_imbalance,or_weakness."
Nadivrana,Sinusitis.,"bleeding,discharge,or_infection"
Raktarsha,Hemorrhoids.,"bleeding_from_the_anus,pain,itching,infection"
Indralupta,Alopecia areata.,"hair_loss___baldness_that_may_affect_the_scalp,eyebrows,_eyelashes"
Yoniroga,Gynecological disorders.,"menstrual_dis_ders,infertility,pelvic_inflammat_y_disease,_cervical_cancer"
Balaroga,Pediatric diseases.,"fever,diarrhea,malnutrition,or_respiratory_infections."
Hriddrava,Cardiac effusion.,"sh_tness_of_breath,swelling,_fatigue."
Bhagandar,Fistula-in-ano.,"bleeding,discharge,pain"
Vranashotha,Swelling of wounds.,"Pain,redness,or_heat_in_the_affected_area,Blisters,pus,odor_from_the_wound,Fever,thirst,loss_of_taste"
Ardhavbhedaka,Migraine.,"nausea,vomiting,or_sensitivity_to_sound_and_light."
Granthi,Cyst or tumor.,"pain,pressure,or_obstruction."
Sandhigatavata,Osteoarthritis.,"pain,stiffness,or_reduced_mobility."
Agnidagdha,Burnt by digestive fire (related to digestion).,"pain,blisters,or_infection."
Manodvega,Mental disorders.,"palpitations,sweating,or_panic_attacks"
Pittaroga,Diseases related to Pitta dosha.,"urinary_obstruction_or_retention,headache_or_migraine,conjunctivitis,glaucoma,or_cataract"
Mutraghata,Urinary obstruction.,"frequent,urgent,or_incomplete_urination."
Suryavarta,Sunstroke.,headache_or_migraine
Pittajanetravyadhi,Disorders of the urinary system related to Pitta dosha.,"conjunctivitis,glaucoma,or_cataract"
Vastigatashula,Pain related to enema administration.,"frequent,urgent,or_incomplete_urination."
Shula,Abdominal pain.,"cramps,spasms,or_contractions_in_the_affected_area."
Mukhdaurgandhya,Foul smell from the mouth.,"unpleasant_odor,taste,or_sensation_in_the_mouth."
Vatajashula,Abdominal pain due to Vata dosha.,"Stiffness,numbness,or_tingling_in_the_affected_area,Cramps,spasms,or_contractions_in_the_muscles_or_organs"
Urustambha,Thigh stiffness.,"difficulty_in_walking,bending,or_stretching."
Anidra,Insomnia.,"fatigue,irritability,or_poor_concentration."
Anaha,Bloating.,"bloating,distension,or_rumbling_in_the_stomach."
Sandhigraha,Joint stiffness.,"reduced_range_of_motion,cracking,or_popping_in_the_joints."
Urdhvagaraktapitta,Upper gastrointestinal bleeding.,"vomiting,coughing,or_spitting_of_blood."
Hrid-daurbalya,Weakness of the heart.,"palpitations,chest_pain,or_shortness_of_breath."
Sandhivedana,Joint pain.,"swelling,stiffness,or_reduced_mobility_in_the_affected_joints."
Padadaha,Foot burning sensation.,"numbness,tingling,or_redness_in_the_feet."
Amvata,Rheumatism.,"pain,stiffness,or_swelling_in_the_joints,especially_in_the_hands_and_feet."
Khalli,Abscess.,"difficulty_in_swallowing,speaking,or_breathing."
Dagdhavrana,Burn wounds.,"pain,blisters,or_infection."
Kshata,Injury.,"coughing,bleeding,or_difficulty_breathing."
Gandamala,Tonsillitis.,"pain,fever,or_difficulty_swallowing"
Kushtha,Skin diseases.,"itching,scaling,or_discoloration_of_the_skin."
Manoroga,Mental disorders.,"mood_swings,hallucinations,or_suicidal_thoughts."
Manodosha,Psychological imbalances.,"anger,fear,or_sadness."
Panduduarbalya,Anemia and weakness.,"pallor,fatigue,weakness"
Atisara,Diarrhea.,"dehydration,electrolyte_imbalance,or_abdominal_pain."
Hikka,Hiccups.,"discomfort,irritation,or_difficulty_in_breathing."
Dadru,Fungal skin infections.,"circular,red,or_scaly_patches_on_the_skin."
